Wavelength [nm]	Intensity [A.U.]
498.44518984535415	0.0
498.6016091236286	0.0
498.75803703702434	0.0
498.9144735830729	-0.0
499.0709187593057	0.0
499.22737256325416	-0.0
499.3838349924497	-0.0
499.54030604442374	-0.0
499.6967857167077	-0.0
499.8532740068331	-0.0
500.0097709123313	-0.0
500.1662764307338	0.0
500.3227905595719	0.0
500.47931329637714	0.0
500.6358446386809	0.0
500.7923845840147	0.0
500.94893312990985	0.0
501.1054902738979	0.0
501.2620560135102	0.0
501.41863034627823	0.0
501.57521326973335	0.0
501.7318047814071	0.0
501.88840487883084	0.0
502.04501355953596	-0.0
502.20163082105404	-0.0
502.35825666091637	-0.0
502.51489107665446	-0.0
502.6715340657997	-0.0
502.8281856258835	-0.0
502.9848457544374	-0.0
503.1415144489927	-0.0
503.298191707081	0.0
503.45487752623353	0.0
503.6115719039819	0.0
503.7682748378574	0.0
503.92498632539156	0.0
504.0817063641158	0.0
504.2384349515615	0.0
504.3951720852601	0.0
504.55191776274313	0.0
504.7086719815419	0.0
504.8654347391879	0.0
505.0222060332125	0.0
505.1789858611473	0.0
505.33577422052355	0.0
505.49257110887277	-0.0
505.64937652372635	0.0
505.80619046261575	-0.0
505.9630129230724	-0.0
506.11984390262774	-0.0
506.2766833988132	-0.0
506.4335314091602	-0.0
506.59038793120015	-0.0
506.7472529624646	-0.0
506.9041265004848	0.0
507.0610085427923	-0.0
507.2178990869185	0.0
507.3747981303949	0.0
507.5317056707528	0.0
507.68862170552376	0.0
507.8455462322391	0.0
508.00247924843035	0.0
508.1594207516289	0.0
508.31637073936616	0.0
508.47332920917364	0.0
508.63029615858267	-0.0
508.78727158512476	-0.0
508.9442554863313	-0.0
509.10124785973375	-0.0
509.2582487028635	-0.0
509.41525801325207	-0.0
509.5722757884308	-0.0
509.72930202593113	0.0
509.88633672328456	-0.0
510.04337987802245	-0.0
510.20043148767627	-0.0
510.3574915497775	0.0
510.5145600618574	0.0
510.6716370214476	0.0
510.8287224260795	0.0
510.9858162732844	0.0
511.1429185605939	0.0
511.30002928553927	0.0
511.4571484456521	0.0
511.6142760384637	0.0
511.77141206150554	0.0
511.92855651230906	0.0
512.0857093884057	-0.0
512.2428706873269	-0.0
512.400040406604	-0.0
512.5572185437686	-0.0
512.714405096352	-0.0
512.8716000618858	-0.0
513.0288034379012	-0.0
513.1860152219298	0.0
513.3432354115029	0.0
513.500464004152	0.0
513.6577009974086	0.0
513.814946388804	0.0
513.9722001758697	0.0
514.1294623561372	0.0
514.2867329271378	0.0
514.444011886403	0.0
514.6012992314643	0.0
514.7585949598531	0.0
514.9158990691006	-0.0
515.0732115567387	0.0
515.2305324202983	0.0
